1;1;1;1;1
2;1;6;1;3
3;1;5;1;3
4;1;6;3;2
5;1;2;1;3
6;1;2;3;3
7;1;1;2;1
8;1;1;2;2
8;1;1;2;3
9;1;1;2;1
10;1;1;1;2
11;1;1;3;1
12;1;1;3;2
13;1;1;3;3
14;1;1;3;1
16;4;1;1;2
17;4;1;2;1
18;4;1;1;2
19;4;1;1;2
20;4;1;1;2
21;4;1;2;1
22;4;1;1;2
23;4;1;1;2
24;4;1;1;2
25;4;1;1;2
26;4;1;1;2
27;4;1;1;2
28;4;1;2;1
29;4;1;1;2
30;4;1;2;1
31;4;13;3;1
32;4;13;1;3
33;4;13;3;1
34;4;41;1;2
35;4;41;1;3
36;4;41;3;1
37;4;41;1;3
38;4;41;3;1
39;4;1;1;2
40;4;1;2;1
41;4;1;2;1
42;4;11;1;2
43;4;1;2;1
44;4;1;2;1
45;4;1;1;2
46;4;2;2;1
47;4;113;3;10
48;4;113;10;3
49;4;3;3;9
50;4;1;1;10
51;4;1;10;1
52;4;1;10;1
53;4;2;2;10
54;4;2;10;2
55;4;1;1;10
56;4;1;10;1
57;4;13;3;7
58;4;14;4;3
59;4;13;7;3
60;4;14;3;4
61;4;96;6;10
62;4;96;10;6
63;4;1;1;2
64;4;2;2;1
65;4;1;1;2
66;4;1;1;2
67;4;1;1;2
68;4;11;1;2
